long,lat,Nationality,Code,Date,Female,Male,Child-Female,Child-Male
108.277199,14.058324,Vietnam,VN,2011-04-15T00:00:00Z,6,31,10,24
69.345116,30.375321,Pakistan,PK,2011-04-15T00:00:00Z,,61,,2
47.481766,29.31166,Kuwait,KW,2011-04-15T00:00:00Z,1,18,,2
,,Other,,2011-04-15T00:00:00Z,162,790,83,134
67.709953,33.93911,Afghanistan,AF,2011-11-03T00:00:00Z,36,1903,22,306
53.688046,32.427908,Iran,IR,2011-11-03T00:00:00Z,240,910,100,143
80.771797,7.873054,Sri Lanka,LK,2011-11-03T00:00:00Z,71,571,37,36
43.679291,33.223191,Iraq,IQ,2011-11-03T00:00:00Z,67,419,38,69
113.921327,-0.789275,Indonesia,ID,2011-11-03T00:00:00Z,,302,,49
79.8714212,6.9044087,Peoples Republic Of China,CN,2011-11-03T00:00:00Z,28,91,,
95.956223,21.913965,Burma,MM,2011-11-03T00:00:00Z,,77,,1
69.345116,30.375321,Pakistan,PK,2011-11-03T00:00:00Z,,55,,2
108.277199,14.058324,Vietnam,VN,2011-11-03T00:00:00Z,6,24,2,3
47.481766,29.31166,Kuwait,KW,2011-11-03T00:00:00Z,1,25,,3
,,Other,,2011-11-03T00:00:00Z,169,794,89,130
67.709953,33.93911,Afghanistan,AF,2011-02-18T00:00:00Z,37,1940,22,332
53.688046,32.427908,Iran,IR,2011-02-18T00:00:00Z,221,837,97,131
80.771797,7.873054,Sri Lanka,LK,2011-02-18T00:00:00Z,69,558,39,36
43.679291,33.223191,Iraq,IQ,2011-02-18T00:00:00Z,67,424,39,70
113.921327,-0.789275,Indonesia,ID,2011-02-18T00:00:00Z,,280,,49
79.8714212,6.9044087,Peoples Republic Of China,CN,2011-02-18T00:00:00Z,17,104,,
95.956223,21.913965,Burma,MM,2011-02-18T00:00:00Z,,78,,4
69.345116,30.375321,Pakistan,PK,2011-02-18T00:00:00Z,,52,,2
108.277199,14.058324,Vietnam,VN,2011-02-18T00:00:00Z,5,27,2,3
47.481766,29.31166,Kuwait,KW,2011-02-18T00:00:00Z,1,25,,3
,,Other,,2011-02-18T00:00:00Z,169,807,89,122
67.709953,33.93911,Afghanistan,AF,2011-01-21T00:00:00Z,37,2029,22,344
