original-location,ourlocation,date,men,women,children
Northern IDC (Darwin),Northern IDC,2011-02-18T00:00:00Z,463,,
Maribyrnong IDC,Maribyrnong IDC,2011-02-18T00:00:00Z,69,10,
Perth IDC,Perth IDC,2011-02-18T00:00:00Z,53,1,
Christmas Island IDC,north west point immigration facility,2011-02-18T00:00:00Z,1832,,
Curtin IDC,Curtin IDC,2011-02-18T00:00:00Z,1130,,
Scherger IDC,Scherger IDC,2011-02-18T00:00:00Z,311,,
Sydney Immigration Residential Housing,Sydney IRH,2011-02-18T00:00:00Z,10,7,7
Perth Immigration Residential Housing,Perth IRH,2011-02-18T00:00:00Z,5,4,10
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-02-18T00:00:00Z,21,16,17
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-02-18T00:00:00Z,12,12,19
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-02-18T00:00:00Z,7,,115
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-02-18T00:00:00Z,14,4,
Community Detention (Mainland),,2011-02-18T00:00:00Z,33,23,50
Community Detention (Christmas Island),,2011-02-18T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2011-02-18T00:00:00Z,475,331,496
"Alternative Temporary Detention in the Community
(Christmas Island)",,2011-02-18T00:00:00Z,326,155,326
Villawood IDC,Villawood IDC,2011-02-04T00:00:00Z,314,25,
Northern IDC (Darwin),Northern IDC,2011-02-04T00:00:00Z,481,,
Maribyrnong IDC,Maribyrnong IDC,2011-02-04T00:00:00Z,68,5,
Perth IDC,Perth IDC,2011-02-04T00:00:00Z,49,,
Christmas Island IDC,north west point immigration facility,2011-02-04T00:00:00Z,1829,,
Curtin IDC,Curtin IDC,2011-02-04T00:00:00Z,1153,,
Scherger IDC,Scherger IDC,2011-02-04T00:00:00Z,295,,
Sydney Immigration Residential Housing,Sydney IRH,2011-02-04T00:00:00Z,11,8,9
Perth Immigration Residential Housing,Perth IRH,2011-02-04T00:00:00Z,4,3,9
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-02-04T00:00:00Z,22,17,18
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-02-04T00:00:00Z,16,15,20
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-02-04T00:00:00Z,10,,125
Community Detention (Mainland),,2011-02-04T00:00:00Z,20,11,37
Community Detention (Christmas Island),,2011-02-04T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2011-02-04T00:00:00Z,484,348,508
"Alternative Temporary Detention in the Community
(Christmas Island)",,2011-02-04T00:00:00Z,304,139,301
Villawood IDC,Villawood IDC,2011-01-14T00:00:00Z,300,23,
Northern IDC (Darwin),Northern IDC,2011-01-14T00:00:00Z,447,,
Maribyrnong IDC,Maribyrnong IDC,2011-01-14T00:00:00Z,72,12,
Perth IDC,Perth IDC,2011-01-14T00:00:00Z,45,,
